KO	ph4.txt	ph45.txt	ph5.txt	ph55.txt	ph6.txt	ph65.txt	ph7.txt
K00001	0	0	1	0	5	0	0	K00001
K00003	197	250	725	696	953	625	387	K00003
K00004	4	12	34	30	29	10	5	K00004
K00005	5	6	18	16	15	4	4	K00005
K00006	0	0	0	0	1	0	0	K00006
K00007	0	0	5	5	6	3	1	K00007
K00008	1	2	12	3	11	3	0	K00008
K00009	15	15	39	39	52	16	14	K00009
K00010	50	58	200	214	349	209	129	K00010
K00012	216	287	837	851	1184	732	471	K00012
K00013	93	127	364	343	396	233	120	K00013
K00014	98	152	406	373	470	286	152	K00014
K00015	18	23	64	79	76	49	22	K00015
K00016	14	17	73	80	101	66	38	K00016
K00018	9	19	75	63	128	81	66	K00018
K00019	130	164	488	587	869	526	298	K00019
K00020	209	301	935	967	1232	747	463	K00020
K00021	12	20	95	91	156	110	84	K00021
K00022	3	18	38	27	46	23	10	K00022
K00023	34	48	117	140	165	100	54	K00023
K00024	140	159	412	385	529	343	201	K00024
K00027	56	67	181	162	212	120	77	K00027
K00029	61	94	345	397	729	471	325	K00029
K00030	50	91	239	240	316	181	128	K00030
K00031	188	215	513	607	928	668	456	K00031
K00032	0	0	0	0	2	1	0	K00032
K00033	668	672	1708	1847	2906	2054	1306	K00033
K00034	68	99	245	197	165	66	37	K00034
K00035	9	13	76	103	126	75	28	K00035
K00036	401	477	1227	1117	1419	840	534	K00036
K00038	63	63	210	225	261	146	87	K00038
K00039	5	9	25	29	33	21	5	K00039
K00040	5	4	25	28	39	21	8	K00040
K00041	15	17	46	58	115	56	38	K00041
K00042	28	43	94	102	141	88	52	K00042
K00043	4	3	32	35	36	17	12	K00043
K00045	7	13	25	12	13	4	0	K00045
K00046	9	16	53	64	141	79	37	K00046
K00049	0	0	0	3	5	2	1	K00049
K00052	140	203	539	522	638	365	238	K00052
K00053	717	620	1575	1825	3191	2496	1628	K00053
K00054	8	7	17	22	54	39	30	K00054
K00055	6	10	39	34	47	26	14	K00055
K00057	229	262	800	875	1343	878	551	K00057
K00058	280	362	995	988	1429	897	580	K00058
K00059	1410	1798	5000	4789	6261	3746	2380	K00059
K00060	118	143	371	400	495	314	171	K00060
K00064	92	101	261	262	321	171	82	K00064
K00065	31	31	120	129	199	129	81	K00065
K00066	30	42	156	168	238	152	111	K00066
K00067	131	188	572	569	670	365	220	K00067
K00068	0	4	12	8	3	1	0	K00068
K00069	6	4	9	3	4	1	0	K00069
K00073	7	4	9	9	19	7	7	K00073
K00074	147	218	550	591	1009	632	404	K00074
K00075	939	831	2080	2359	4582	3397	2297	K00075
K00076	23	29	56	57	76	42	21	K00076
K00077	304	464	1396	1479	2296	1475	934	K00077
K00078	17	22	56	45	86	31	18	K00078
K00087	5	3	27	18	6	5	5	K00087
K00088	301	345	887	992	1595	1141	768	K00088
K00090	0	0	8	7	16	5	4	K00090
K00091	100	130	356	342	263	118	66	K00091
K00096	25	38	82	139	293	160	102	K00096
K00097	37	45	134	163	174	101	61	K00097
K00098	3	6	21	34	68	41	27	K00098
K00099	404	449	1179	1360	2218	1594	1100	K00099
K00101	41	51	117	128	182	91	50	K00101
K00102	21	32	109	125	195	143	90	K00102
K00103	1	1	0	0	3	1	0	K00103
K00104	145	169	445	381	576	349	223	K00104
K00108	11	19	60	50	63	23	15	K00108
K00109	26	33	90	54	56	30	13	K00109
K00111	557	609	1644	1864	3340	2327	1545	K00111
K00112	23	15	25	17	32	28	14	K00112
K00113	145	206	502	482	593	351	219	K00113
K00114	10	38	182	194	239	129	77	K00114
K00116	27	34	74	65	103	55	28	K00116
K00117	1	1	12	16	14	6	2	K00117
K00118	30	51	157	168	204	126	107	K00118
K00119	8	6	15	8	7	1	1	K00119
K00120	0	0	1	1	0	0	0	K00120
K00121	22	20	59	62	61	34	24	K00121
K00122	10	13	53	74	183	150	103	K00122
K00123	29	36	104	83	103	56	37	K00123
K00124	215	245	758	817	907	538	342	K00124
K00125	0	0	0	1	1	0	0	K00125
K00126	42	51	135	167	279	188	105	K00126
K00127	79	109	453	573	910	611	421	K00127
K00128	65	101	314	275	255	120	78	K00128
K00130	19	36	137	115	116	61	45	K00130
K00131	0	0	4	1	3	3	1	K00131
K00132	1	3	22	26	76	67	46	K00132
K00133	258	315	918	955	1457	961	628	K00133
K00134	186	219	533	507	646	395	254	K00134
K00135	113	135	365	339	417	246	152	K00135
K00137	12	11	30	23	29	21	15	K00137
K00138	11	12	35	32	25	16	11	K00138
K00140	119	162	427	445	550	336	231	K00140
K00141	9	4	17	13	19	6	1	K00141
K00142	0	0	2	0	1	0	0	K00142
K00145	505	549	1394	1562	2707	1968	1320	K00145
K00146	17	27	97	85	71	31	29	K00146
K00147	66	81	208	202	235	137	75	K00147
K00148	51	53	151	126	103	51	24	K00148
K00149	0	0	0	1	0	0	0	K00149
K00150	5	5	7	8	17	9	12	K00150
K00151	7	11	19	16	15	7	2	K00151
K00153	36	38	73	56	54	30	21	K00153
K00154	8	14	55	59	65	40	22	K00154
K00156	109	151	373	271	144	52	25	K00156
K00158	3	2	9	10	9	1	0	K00158
K00161	44	73	189	207	293	171	100	K00161
K00162	50	70	184	183	262	165	106	K00162
K00163	371	361	959	1027	1543	1159	790	K00163
K00164	19	26	82	78	50	23	15	K00164
K00166	47	57	121	95	154	73	45	K00166
K00167	47	48	112	98	115	59	35	K00167
K00169	21	28	100	129	205	134	86	K00169
K00170	8	17	83	89	112	69	36	K00170
K00171	2	3	25	26	32	19	8	K00171
K00172	16	20	109	117	202	125	76	K00172
K00174	283	327	992	1168	1812	1178	815	K00174
K00175	254	276	832	913	1351	924	613	K00175
K00176	15	29	175	182	174	101	54	K00176
K00177	2	13	134	177	154	53	25	K00177
K00179	5	15	44	41	35	27	16	K00179
K00180	15	22	75	97	135	85	47	K00180
K00184	1	2	12	11	29	19	16	K00184
K00185	1	0	0	1	1	1	1	K00185
K00186	0	3	35	44	19	3	4	K00186
K00187	1	6	54	57	31	7	1	K00187
K00194	0	0	1	1	1	1	1	K00194
K00196	0	1	8	10	9	16	7	K00196
K00197	0	0	0	1	1	1	2	K00197
K00198	0	0	5	2	1	1	1	K00198
K00200	16	24	68	66	110	87	43	K00200
K00201	33	40	98	122	219	187	125	K00201
K00202	26	28	77	87	171	131	85	K00202
K00206	1	5	21	26	36	21	16	K00206
K00207	0	0	1	10	44	28	29	K00207
K00208	209	256	737	879	1281	861	550	K00208
K00209	21	22	51	43	85	58	40	K00209
K00213	1	0	0	3	8	5	6	K00213
K00214	0	0	0	0	0	1	1	K00214
K00215	338	368	1072	1241	2068	1446	915	K00215
K00216	2	1	3	1	2	4	1	K00216
K00217	26	46	143	164	179	136	93	K00217
K00218	0	0	0	0	1	1	0	K00218
K00219	8	14	37	30	63	42	19	K00219
K00220	20	23	80	86	76	40	15	K00220
K00221	90	74	131	69	79	30	19	K00221
K00222	0	0	0	3	7	5	4	K00222
K00223	0	0	0	0	0	1	0	K00223
K00226	10	23	135	159	207	120	71	K00226
K00227	9	16	62	70	186	112	91	K00227
K00228	236	182	641	818	1616	1222	808	K00228
K00230	58	84	323	389	777	558	373	K00230
K00231	220	263	680	763	1282	870	578	K00231
K00232	35	33	81	100	126	81	51	K00232
K00235	0	0	0	2	2	0	1	K00235
K00236	0	0	1	1	2	2	2	K00236
K00237	0	0	1	0	0	0	0	K00237
K00239	73	129	304	275	327	172	103	K00239
K00240	653	673	1688	1879	3043	2295	1631	K00240
K00241	299	353	998	1226	2024	1422	953	K00241
K00242	152	168	485	562	737	500	315	K00242
K00243	2	5	23	19	80	37	21	K00243
K00244	0	5	12	12	32	16	13	K00244
K00245	11	19	48	58	127	115	76	K00245
K00246	47	57	142	202	489	406	309	K00246
K00247	39	38	110	151	372	286	227	K00247
K00248	47	116	269	255	431	233	168	K00248
K00249	440	617	1458	1301	1739	1028	643	K00249
K00252	119	160	402	395	445	239	145	K00252
K00253	39	36	118	117	142	96	49	K00253
K00254	158	193	600	701	1233	834	562	K00254
K00257	1	0	0	0	0	0	0	K00257
K00259	190	212	577	632	963	630	400	K00259
K00260	0	0	2	4	1	0	0	K00260
K00261	80	144	315	288	383	240	166	K00261
K00262	8	8	51	70	105	84	45	K00262
K00263	12	15	44	41	90	63	50	K00263
K00265	32	44	101	70	63	29	23	K00265
K00266	72	102	318	287	353	180	103	K00266
K00271	9	7	23	21	14	5	3	K00271
K00273	26	42	164	192	374	246	151	K00273
K00274	31	42	120	112	199	127	83	K00274
K00275	577	588	1529	1801	3478	2646	1723	K00275
K00276	17	22	81	85	92	52	36	K00276
K00278	88	113	351	328	459	273	166	K00278
K00279	8	7	7	11	58	50	38	K00279
K00281	45	58	182	249	466	318	199	K00281
K00282	146	179	410	354	434	237	156	K00282
K00283	126	143	349	299	326	198	129	K00283
K00284	0	0	5	3	6	3	2	K00284
K00285	25	38	92	115	223	130	74	K00285
K00286	355	393	1060	1197	1991	1383	867	K00286
K00287	123	152	508	667	1463	1046	736	K00287
K00290	11	9	36	49	123	80	60	K00290
K00294	50	77	194	196	311	194	144	K00294
K00295	3	3	2	0	1	1	1	K00295
K00297	181	239	623	678	956	650	410	K00297
K00298	0	0	8	9	12	2	1	K00298
K00299	85	92	225	205	379	221	100	K00299
K00300	8	12	29	30	68	42	22	K00300
K00301	31	44	117	121	193	109	75	K00301
K00302	2	5	21	20	26	12	6	K00302
K00303	5	9	33	36	37	21	12	K00303
K00304	41	42	129	153	245	180	132	K00304
K00305	24	28	81	88	156	110	73	K00305
K00306	1	5	17	13	16	9	8	K00306
K00309	2	3	8	11	5	1	1	K00309
K00311	171	222	639	752	1242	939	692	K00311
K00313	17	18	36	20	22	17	10	K00313
K00314	3	4	12	13	27	14	6	K00314
K00315	9	11	52	56	73	39	14	K00315
K00316	39	49	203	232	296	168	87	K00316
K00317	6	6	32	31	61	31	17	K00317
K00318	82	137	409	366	525	324	214	K00318
K00320	177	227	548	494	717	405	292	K00320
K00322	70	89	250	272	334	185	104	K00322
K00324	103	141	391	425	585	365	234	K00324
K00325	54	78	222	196	254	127	89	K00325
K00326	1	2	10	4	16	14	9	K00326
K00330	473	543	1451	1597	2559	1923	1293	K00330
K00331	312	331	922	913	1207	851	596	K00331
K00332	152	216	588	636	1072	761	508	K00332
K00333	150	196	565	482	552	320	201	K00333
K00334	331	381	1029	1068	1713	1197	820	K00334
K00335	95	142	471	427	431	216	124	K00335
K00336	27	38	67	46	42	20	8	K00336
K00337	199	255	664	625	799	472	302	K00337
K00338	451	507	1287	1357	2111	1468	1063	K00338
K00339	342	410	1074	1176	1845	1226	846	K00339
K00340	548	576	1455	1703	2903	2159	1445	K00340
K00341	195	236	633	562	699	392	253	K00341
K00342	111	149	438	414	506	291	200	K00342
K00343	300	369	1018	1048	1514	980	632	K00343
K00344	434	623	2051	2159	2878	1777	1082	K00344
K00345	0	0	0	1	1	3	0	K00345
K00346	0	0	0	0	1	4	3	K00346
K00347	0	0	0	0	2	2	4	K00347
K00348	0	0	0	0	5	8	11	K00348
K00349	0	0	0	0	3	4	8	K00349
K00350	0	0	0	0	1	3	4	K00350
K00351	14	8	9	5	6	7	6	K00351
K00354	0	1	3	8	7	4	1	K00354
K00355	19	30	149	216	333	216	102	K00355
K00357	1	2	8	8	8	4	0	K00357
K00359	4	4	15	16	42	26	20	K00359
K00360	0	3	12	10	9	8	1	K00360
K00362	55	64	189	174	219	113	77	K00362
K00363	158	199	465	500	972	707	470	K00363
K00364	1	2	15	12	27	19	13	K00364
K00365	32	49	124	125	218	183	124	K00365
K00366	19	26	76	68	65	34	21	K00366
K00367	1	3	3	5	6	5	2	K00367
K00368	108	159	496	624	1061	750	502	K00368
K00370	48	54	133	93	89	44	18	K00370
K00371	99	90	192	171	198	114	71	K00371
K00372	4	6	17	20	11	9	4	K00372
K00373	140	120	269	259	363	212	142	K00373
K00374	93	102	245	230	309	190	132	K00374
K00375	151	185	551	501	705	384	213	K00375
K00376	7	13	54	73	183	131	79	K00376
K00380	9	16	63	56	49	18	13	K00380
K00381	24	40	122	107	121	50	27	K00381
K00382	177	247	694	713	931	506	346	K00382
K00383	17	29	87	112	119	54	34	K00383
K00384	277	379	1099	1114	1507	933	594	K00384
K00386	6	9	48	66	73	34	14	K00386
K00387	2	1	8	5	8	6	4	K00387
K00389	247	207	641	683	1118	741	463	K00389
K00390	270	286	820	854	1315	870	545	K00390
K00392	30	40	110	90	91	38	28	K00392
K00394	6	7	27	28	46	30	29	K00394
K00395	15	10	41	45	67	61	46	K00395
K00404	0	0	27	41	37	12	3	K00404
K00405	2	7	65	109	146	87	47	K00405
K00406	134	273	1068	1416	2054	1197	657	K00406
K00407	6	23	168	288	633	418	255	K00407
K00410	1	4	11	19	14	8	2	K00410
K00411	131	153	396	519	768	602	443	K00411
K00412	86	115	339	369	470	330	207	K00412
K00413	150	159	509	663	1155	893	564	K00413
K00416	0	1	1	0	0	0	0	K00416
K00422	0	0	1	0	3	2	1	K00422
K00424	11	13	45	53	72	40	21	K00424
K00425	651	606	1774	2247	4221	2947	1817	K00425
K00426	549	497	1521	1858	3528	2369	1342	K00426
K00428	135	218	946	1339	3088	2220	1620	K00428
K00432	366	392	1100	1307	2418	1712	1092	K00432
K00433	109	147	556	719	1322	980	624	K00433
K00435	31	41	103	88	54	30	15	K00435
K00436	2	7	73	65	36	6	1	K00436
K00441	33	27	62	42	42	21	14	K00441
K00442	0	0	1	1	0	0	0	K00442
K00446	76	83	216	216	313	207	128	K00446
K00448	95	123	288	289	449	301	178	K00448
K00449	155	206	513	561	919	713	487	K00449
K00450	165	203	595	697	1184	947	648	K00450
K00451	681	574	1547	1816	3289	2477	1615	K00451
K00452	59	85	210	300	591	512	375	K00452
K00453	312	339	903	1107	2431	2003	1328	K00453
K00455	11	10	35	41	60	48	25	K00455
K00456	23	43	116	142	278	182	157	K00456
K00457	167	212	547	586	860	613	382	K00457
K00459	825	862	2344	2589	4077	2721	1613	K00459
K00462	0	0	1	2	2	1	0	K00462
K00463	19	22	64	75	153	123	82	K00463
K00464	1	3	22	21	20	10	2	K00464
K00466	0	0	1	0	1	0	0	K00466
K00467	18	33	75	71	86	38	16	K00467
K00468	3	2	10	7	14	6	2	K00468
K00469	143	142	360	391	536	401	272	K00469
K00471	0	0	5	3	3	0	0	K00471
K00472	9	14	95	127	149	113	67	K00472
K00474	0	0	1	0	3	5	2	K00474
K00476	11	16	75	91	126	87	45	K00476
K00477	229	298	926	779	973	509	374	K00477
K00479	45	66	192	224	322	209	130	K00479
K00481	98	119	331	356	511	344	211	K00481
K00483	70	88	243	205	225	156	94	K00483
K00484	0	0	4	1	0	1	0	K00484
K00485	21	29	79	89	109	71	34	K00485
K00486	11	15	65	100	129	91	58	K00486
K00491	1	3	6	1	1	3	0	K00491
K00496	18	19	105	137	214	120	86	K00496
K00499	24	56	171	203	314	180	117	K00499
K00500	143	146	486	637	1080	776	558	K00500
K00505	4	11	45	58	88	66	32	K00505
K00507	768	737	1792	2053	3698	2811	1818	K00507
K00508	19	27	83	102	208	117	85	K00508
K00511	1	0	4	6	11	4	2	K00511
K00514	0	0	0	0	1	1	0	K00514
K00518	62	57	125	119	193	141	86	K00518
K00520	31	31	39	26	23	3	0	K00520
K00523	8	9	58	78	131	82	52	K00523
K00524	0	0	0	0	0	1	0	K00524
K00525	1409	1320	3206	3632	6352	4785	3395	K00525
K00526	32	46	121	126	181	122	82	K00526
K00528	75	75	187	214	337	219	140	K00528
K00529	163	188	488	389	451	230	124	K00529
K00537	95	141	436	537	786	519	295	K00537
K00540	819	783	1845	1727	2936	1911	1200	K00540
K00542	0	0	4	4	9	6	7	K00542
K00544	25	16	68	60	74	43	22	K00544
K00545	7	6	6	10	35	26	24	K00545
K00547	18	16	39	35	68	57	47	K00547
K00548	596	736	1941	2268	3602	2739	1832	K00548
K00549	2527	2420	6300	6870	11946	9359	6101	K00549
K00550	0	0	0	1	3	2	2	K00550
K00554	677	650	1617	1852	3321	2481	1684	K00554
K00555	4	7	11	4	12	11	9	K00555
K00556	3	8	30	34	80	29	24	K00556
K00557	0	0	0	0	2	3	0	K00557
K00558	395	367	851	473	269	92	57	K00558
K00559	1	0	3	2	3	1	0	K00559
K00560	232	204	758	1004	2008	1464	1007	K00560
K00561	29	39	110	95	126	62	39	K00561
K00563	81	79	144	134	196	112	75	K00563
K00564	75	78	167	123	254	150	96	K00564
K00565	2	1	3	0	0	0	0	K00565
K00566	96	133	384	390	497	279	182	K00566
K00567	265	361	975	1003	1442	943	566	K00567
K00568	29	37	123	142	192	107	70	K00568
K00569	6	10	28	39	80	46	35	K00569
K00570	168	180	561	698	1085	824	549	K00570
K00571	313	312	716	492	433	241	141	K00571
K00573	430	465	1399	1784	3594	2696	1878	K00573
K00574	665	673	1725	2095	3565	2472	1503	K00574
K00575	249	367	1294	1319	1758	907	564	K00575
K00577	17	15	29	21	13	3	1	K00577
K00587	8	6	29	33	79	33	23	K00587
K00588	258	309	864	907	1542	1018	658	K00588
K00590	14	18	34	17	13	9	3	K00590
K00591	0	0	4	4	0	2	0	K00591
K00594	27	32	108	86	77	34	25	K00594
K00595	72	88	178	137	129	74	27	K00595
K00596	6	13	29	33	50	29	18	K00596
K00598	211	237	633	616	886	595	344	K00598
K00600	1423	1062	2684	3136	5895	4484	3007	K00600
K00601	0	0	0	0	2	0	0	K00601
K00602	918	908	2261	2736	5094	3985	2573	K00602
K00603	58	65	201	231	311	186	146	K00603
K00604	172	235	677	705	1043	672	438	K00604
K00605	195	256	711	681	1023	639	418	K00605
K00606	743	692	1642	1988	3767	2845	1931	K00606
K00609	304	372	960	1028	1592	1131	796	K00609
K00610	2	1	5	4	9	4	8	K00610
K00611	136	183	530	506	613	345	246	K00611
K00612	144	205	695	806	1362	942	645	K00612
K00613	4	4	15	25	89	62	47	K00613
K00615	766	870	2423	2467	3732	2464	1693	K00615
K00616	496	608	1541	1553	2247	1468	937	K00616
