Genome_name	Module_id	Module_name	Steps_found	Steps_needed	Percent_steps_found
ph4.txt	M00474	RcsC-RcsD-RcsB (capsule synthesis) two-component regulatory system	1	3	33.33
ph45.txt	M00474	RcsC-RcsD-RcsB (capsule synthesis) two-component regulatory system	0	3	0.0
ph5.txt	M00474	RcsC-RcsD-RcsB (capsule synthesis) two-component regulatory system	2	3	66.67
ph55.txt	M00474	RcsC-RcsD-RcsB (capsule synthesis) two-component regulatory system	1	3	33.33
ph6.txt	M00474	RcsC-RcsD-RcsB (capsule synthesis) two-component regulatory system	1	3	33.33
ph65.txt	M00474	RcsC-RcsD-RcsB (capsule synthesis) two-component regulatory system	2	3	66.67
ph7.txt	M00474	RcsC-RcsD-RcsB (capsule synthesis) two-component regulatory system	2	3	66.67
ph4.txt	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	1	2	50.0
ph45.txt	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	0	2	0.0
ph5.txt	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	2	2	100.0
ph55.txt	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	2	2	100.0
ph6.txt	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	2	2	100.0
ph65.txt	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	2	2	100.0
ph7.txt	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	2	2	100.0
ph4.txt	M00476	ComP-ComA (competence) two-component regulatory system	1	2	50.0
ph45.txt	M00476	ComP-ComA (competence) two-component regulatory system	0	2	0.0
ph5.txt	M00476	ComP-ComA (competence) two-component regulatory system	1	2	50.0
ph55.txt	M00476	ComP-ComA (competence) two-component regulatory system	1	2	50.0
ph6.txt	M00476	ComP-ComA (competence) two-component regulatory system	0	2	0.0
ph65.txt	M00476	ComP-ComA (competence) two-component regulatory system	1	2	50.0
ph7.txt	M00476	ComP-ComA (competence) two-component regulatory system	1	2	50.0
ph4.txt	M00477	EvgS-EvgA (acid and drug tolerance) two-component regulatory system	1	2	50.0
ph45.txt	M00477	EvgS-EvgA (acid and drug tolerance) two-component regulatory system	0	2	0.0
ph5.txt	M00477	EvgS-EvgA (acid and drug tolerance) two-component regulatory system	1	2	50.0
ph55.txt	M00477	EvgS-EvgA (acid and drug tolerance) two-component regulatory system	1	2	50.0
ph6.txt	M00477	EvgS-EvgA (acid and drug tolerance) two-component regulatory system	2	2	100.0
ph65.txt	M00477	EvgS-EvgA (acid and drug tolerance) two-component regulatory system	2	2	100.0
ph7.txt	M00477	EvgS-EvgA (acid and drug tolerance) two-component regulatory system	2	2	100.0
ph4.txt	M00470	YxdK-YxdJ (antimicrobial peptide response) two-component regulatory system	0	2	0.0
ph45.txt	M00470	YxdK-YxdJ (antimicrobial peptide response) two-component regulatory system	0	2	0.0
ph5.txt	M00470	YxdK-YxdJ (antimicrobial peptide response) two-component regulatory system	0	2	0.0
ph55.txt	M00470	YxdK-YxdJ (antimicrobial peptide response) two-component regulatory system	0	2	0.0
ph6.txt	M00470	YxdK-YxdJ (antimicrobial peptide response) two-component regulatory system	0	2	0.0
ph65.txt	M00470	YxdK-YxdJ (antimicrobial peptide response) two-component regulatory system	0	2	0.0
ph7.txt	M00470	YxdK-YxdJ (antimicrobial peptide response) two-component regulatory system	0	2	0.0
ph4.txt	M00471	NarX-NarL (nitrate respiration) two-component regulatory system	1	2	50.0
ph45.txt	M00471	NarX-NarL (nitrate respiration) two-component regulatory system	0	2	0.0
ph5.txt	M00471	NarX-NarL (nitrate respiration) two-component regulatory system	1	2	50.0
ph55.txt	M00471	NarX-NarL (nitrate respiration) two-component regulatory system	2	2	100.0
ph6.txt	M00471	NarX-NarL (nitrate respiration) two-component regulatory system	2	2	100.0
ph65.txt	M00471	NarX-NarL (nitrate respiration) two-component regulatory system	2	2	100.0
ph7.txt	M00471	NarX-NarL (nitrate respiration) two-component regulatory system	2	2	100.0
ph4.txt	M00472	NarQ-NarP (nitrate respiration) two-component regulatory system	0	2	0.0
ph45.txt	M00472	NarQ-NarP (nitrate respiration) two-component regulatory system	0	2	0.0
ph5.txt	M00472	NarQ-NarP (nitrate respiration) two-component regulatory system	0	2	0.0
ph55.txt	M00472	NarQ-NarP (nitrate respiration) two-component regulatory system	0	2	0.0
ph6.txt	M00472	NarQ-NarP (nitrate respiration) two-component regulatory system	1	2	50.0
ph65.txt	M00472	NarQ-NarP (nitrate respiration) two-component regulatory system	1	2	50.0
ph7.txt	M00472	NarQ-NarP (nitrate respiration) two-component regulatory system	1	2	50.0
ph4.txt	M00473	UhpB-UhpA (hexose phosphates uptake) two-component regulatory system	1	2	50.0
ph45.txt	M00473	UhpB-UhpA (hexose phosphates uptake) two-component regulatory system	0	2	0.0
ph5.txt	M00473	UhpB-UhpA (hexose phosphates uptake) two-component regulatory system	1	2	50.0
ph55.txt	M00473	UhpB-UhpA (hexose phosphates uptake) two-component regulatory system	1	2	50.0
ph6.txt	M00473	UhpB-UhpA (hexose phosphates uptake) two-component regulatory system	1	2	50.0
ph65.txt	M00473	UhpB-UhpA (hexose phosphates uptake) two-component regulatory system	1	2	50.0
ph7.txt	M00473	UhpB-UhpA (hexose phosphates uptake) two-component regulatory system	1	2	50.0
ph4.txt	M00478	DegS-DegU (multicellular behavior control) two-component regulatory system	2	2	100.0
ph45.txt	M00478	DegS-DegU (multicellular behavior control) two-component regulatory system	0	2	0.0
