Genome_name	Module_id	Module_name
ph4.txt	M00474	RcsC-RcsD-RcsB (capsule synthesis) two-component regulatory system	K07687
ph45.txt	M00474	RcsC-RcsD-RcsB (capsule synthesis) two-component regulatory system	
ph5.txt	M00474	RcsC-RcsD-RcsB (capsule synthesis) two-component regulatory system	K07677,K07687
ph55.txt	M00474	RcsC-RcsD-RcsB (capsule synthesis) two-component regulatory system	K07687
ph6.txt	M00474	RcsC-RcsD-RcsB (capsule synthesis) two-component regulatory system	K07687
ph65.txt	M00474	RcsC-RcsD-RcsB (capsule synthesis) two-component regulatory system	K07677,K07687
ph7.txt	M00474	RcsC-RcsD-RcsB (capsule synthesis) two-component regulatory system	K07677,K07687
ph4.txt	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	K07689
ph45.txt	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	
ph5.txt	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	K07678,K07689
ph55.txt	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	K07678,K07689
ph6.txt	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	K07678,K07689
ph65.txt	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	K07678,K07689
ph7.txt	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	K07678,K07689
ph4.txt	M00476	ComP-ComA (competence) two-component regulatory system	K07680
ph45.txt	M00476	ComP-ComA (competence) two-component regulatory system	
ph5.txt	M00476	ComP-ComA (competence) two-component regulatory system	K07680
ph55.txt	M00476	ComP-ComA (competence) two-component regulatory system	K07680
ph6.txt	M00476	ComP-ComA (competence) two-component regulatory system	
ph65.txt	M00476	ComP-ComA (competence) two-component regulatory system	K07691
ph7.txt	M00476	ComP-ComA (competence) two-component regulatory system	K07691
ph4.txt	M00477	EvgS-EvgA (acid and drug tolerance) two-component regulatory system	K07679
ph45.txt	M00477	EvgS-EvgA (acid and drug tolerance) two-component regulatory system	
ph5.txt	M00477	EvgS-EvgA (acid and drug tolerance) two-component regulatory system	K07679
ph55.txt	M00477	EvgS-EvgA (acid and drug tolerance) two-component regulatory system	K07679
ph6.txt	M00477	EvgS-EvgA (acid and drug tolerance) two-component regulatory system	K07679,K07690
ph65.txt	M00477	EvgS-EvgA (acid and drug tolerance) two-component regulatory system	K07679,K07690
ph7.txt	M00477	EvgS-EvgA (acid and drug tolerance) two-component regulatory system	K07679,K07690
ph4.txt	M00470	YxdK-YxdJ (antimicrobial peptide response) two-component regulatory system	
ph45.txt	M00470	YxdK-YxdJ (antimicrobial peptide response) two-component regulatory system	
ph5.txt	M00470	YxdK-YxdJ (antimicrobial peptide response) two-component regulatory system	
ph55.txt	M00470	YxdK-YxdJ (antimicrobial peptide response) two-component regulatory system	
ph6.txt	M00470	YxdK-YxdJ (antimicrobial peptide response) two-component regulatory system	
ph65.txt	M00470	YxdK-YxdJ (antimicrobial peptide response) two-component regulatory system	
ph7.txt	M00470	YxdK-YxdJ (antimicrobial peptide response) two-component regulatory system	
ph4.txt	M00471	NarX-NarL (nitrate respiration) two-component regulatory system	K07684
ph45.txt	M00471	NarX-NarL (nitrate respiration) two-component regulatory system	
ph5.txt	M00471	NarX-NarL (nitrate respiration) two-component regulatory system	K07684
ph55.txt	M00471	NarX-NarL (nitrate respiration) two-component regulatory system	K07673,K07684
ph6.txt	M00471	NarX-NarL (nitrate respiration) two-component regulatory system	K07673,K07684
ph65.txt	M00471	NarX-NarL (nitrate respiration) two-component regulatory system	K07673,K07684
ph7.txt	M00471	NarX-NarL (nitrate respiration) two-component regulatory system	K07673,K07684
ph4.txt	M00472	NarQ-NarP (nitrate respiration) two-component regulatory system	
ph45.txt	M00472	NarQ-NarP (nitrate respiration) two-component regulatory system	
ph5.txt	M00472	NarQ-NarP (nitrate respiration) two-component regulatory system	
ph55.txt	M00472	NarQ-NarP (nitrate respiration) two-component regulatory system	
ph6.txt	M00472	NarQ-NarP (nitrate respiration) two-component regulatory system	K07685
ph65.txt	M00472	NarQ-NarP (nitrate respiration) two-component regulatory system	K07685
ph7.txt	M00472	NarQ-NarP (nitrate respiration) two-component regulatory system	K07685
ph4.txt	M00473	UhpB-UhpA (hexose phosphates uptake) two-component regulatory system	K07675
ph45.txt	M00473	UhpB-UhpA (hexose phosphates uptake) two-component regulatory system	
ph5.txt	M00473	UhpB-UhpA (hexose phosphates uptake) two-component regulatory system	K07675
ph55.txt	M00473	UhpB-UhpA (hexose phosphates uptake) two-component regulatory system	K07675
ph6.txt	M00473	UhpB-UhpA (hexose phosphates uptake) two-component regulatory system	K07675
ph65.txt	M00473	UhpB-UhpA (hexose phosphates uptake) two-component regulatory system	K07675
ph7.txt	M00473	UhpB-UhpA (hexose phosphates uptake) two-component regulatory system	K07675
ph4.txt	M00478	DegS-DegU (multicellular behavior control) two-component regulatory system	K07777,K07692
ph45.txt	M00478	DegS-DegU (multicellular behavior control) two-component regulatory system	
ph5.txt	M00478	DegS-DegU (multicellular behavior control) two-component regulatory system	K07777,K07692
ph55.txt	M00478	DegS-DegU (multicellular behavior control) two-component regulatory system	K07777,K07692
ph6.txt	M00478	DegS-DegU (multicellular behavior control) two-component regulatory system	K07777,K07692
ph65.txt	M00478	DegS-DegU (multicellular behavior control) two-component regulatory system	K07777,K07692
ph7.txt	M00478	DegS-DegU (multicellular behavior control) two-component regulatory system	K07777,K07692
ph4.txt	M00479	DesK-DesR (membrane lipid fluidity regulation) two-component regulatory system	K07778,K07693
ph45.txt	M00479	DesK-DesR (membrane lipid fluidity regulation) two-component regulatory system	
ph5.txt	M00479	DesK-DesR (membrane lipid fluidity regulation) two-component regulatory system	K07778,K07693
ph55.txt	M00479	DesK-DesR (membrane lipid fluidity regulation) two-component regulatory system	K07778,K07693
ph6.txt	M00479	DesK-DesR (membrane lipid fluidity regulation) two-component regulatory system	K07778,K07693
ph65.txt	M00479	DesK-DesR (membrane lipid fluidity regulation) two-component regulatory system	K07778,K07693
ph7.txt	M00479	DesK-DesR (membrane lipid fluidity regulation) two-component regulatory system	K07778,K07693
ph4.txt	M00276	PTS system, mannose-specific II component	K02793
ph45.txt	M00276	PTS system, mannose-specific II component	
ph5.txt	M00276	PTS system, mannose-specific II component	K02793,K02794,K02795,K02796
